Date_Time,Open,High,Low,Close,Volume
19-06-2019 14:25,11680.55,11694,11678.6,11679.1,105900
19-06-2019 14:30,11680.35,11682.4,11653.1,11663.2,274350
19-06-2019 14:35,11664.45,11672.3,11655,11658.45,220125
19-06-2019 14:40,11657.8,11668.75,11651.2,11658.15,168975
19-06-2019 14:45,11658.1,11662.95,11634.75,11634.85,321150
19-06-2019 14:50,11634,11648,11630.3,11647,267075
19-06-2019 14:55,11647.65,11670.6,11641.15,11667.7,363375
19-06-2019 15:00,11666.6,11693.85,11666.5,11683,395775
19-06-2019 15:05,11682.6,11709.5,11676.55,11707.15,365025
19-06-2019 15:10,11707.85,11725,11700.7,11716,410250
19-06-2019 15:15,11715.5,11728.25,11706.4,11727.1,404850
19-06-2019 15:20,11730,11730.5,11713,11724.6,265425
19-06-2019 15:25,11724.5,11725,11718.95,11720.9,273000
20-06-2019 09:15,11670,11730,11670,11689,719250
20-06-2019 09:20,11689.55,11691.6,11668.05,11677.3,380850
20-06-2019 09:25,11677.2,11681,11669.85,11677.85,195000
20-06-2019 09:30,11677.85,11694.3,11676.95,11685.9,185175
20-06-2019 09:35,11685.8,11698.65,11682.3,11693.05,156450
20-06-2019 09:40,11693.3,11724.9,11693.3,11723.6,326250
20-06-2019 09:45,11724.35,11733.7,11712.3,11720,225675
20-06-2019 09:50,11720.6,11742.2,11720.15,11734.95,318000
20-06-2019 09:55,11734,11749,11731,11739.55,195150
20-06-2019 10:00,11739.95,11748.25,11735.5,11738.75,118050
20-06-2019 10:05,11738.75,11750,11736.55,11748.95,117300
20-06-2019 10:10,11747.2,11754.9,11742.65,11752.05,142650
20-06-2019 10:15,11752.95,11754.95,11743.9,11745.15,117075
20-06-2019 10:20,11745,11748,11740.4,11743.9,92550
20-06-2019 10:25,11744.35,11748,11738,11739,50475
20-06-2019 10:30,11739.25,11744,11736.2,11738.4,58425
20-06-2019 10:35,11738.45,11745.65,11736,11741.95,93975
20-06-2019 10:40,11742.6,11745.8,11738.55,11743.4,51750
20-06-2019 10:45,11743.4,11748,11739.05,11743.35,65700
20-06-2019 10:50,11743.55,11766.75,11743.55,11759.2,249900
20-06-2019 10:55,11759.25,11767.7,11755,11766.75,176475
20-06-2019 11:00,11765.15,11771,11763.2,11766.2,158775
20-06-2019 11:05,11766.2,11770,11760.75,11766.5,75375
20-06-2019 11:10,11766.95,11769.55,11764.55,11766.5,46800
20-06-2019 11:15,11768,11770,11762.1,11763,39450
20-06-2019 11:20,11764.6,11778,11763.65,11772.6,146775
20-06-2019 11:25,11771.15,11773.75,11747.3,11750.6,183150
20-06-2019 11:30,11751.65,11753.9,11743.05,11744.9,136800
20-06-2019 11:35,11745,11749.9,11736.7,11745.2,139425
20-06-2019 11:40,11745,11754.9,11745,11747,66375
20-06-2019 11:45,11746.1,11754.5,11746.1,11754.45,56025
20-06-2019 11:50,11752.8,11762.4,11752.8,11757.5,74175
20-06-2019 11:55,11756.3,11763,11756.1,11759.95,35175
20-06-2019 12:00,11759.7,11768.05,11756.25,11762,61500
20-06-2019 12:05,11761.7,11761.7,11745.75,11752.45,85425
20-06-2019 12:10,11752.45,11757,11749.95,11750,45300
20-06-2019 12:15,11750.45,11764.8,11750.45,11760.45,69600
20-06-2019 12:20,11760.3,11765,11757.95,11760.6,65100
20-06-2019 12:25,11761.1,11765,11757.65,11760,30750
20-06-2019 12:30,11759.15,11766,11759.05,11763.05,47100
20-06-2019 12:35,11761.25,11779.7,11761.05,11778.9,112425
20-06-2019 12:40,11777.05,11779.9,11772.1,11779.05,83100
20-06-2019 12:45,11779.5,11789.9,11778.3,11779.05,273750
20-06-2019 12:50,11779,11780.85,11773.5,11777.6,55425
20-06-2019 12:55,11777.55,11786.2,11773.1,11781,66225
20-06-2019 13:00,11781,11787,11775.55,11775.7,95025
20-06-2019 13:05,11775.4,11781.3,11763.35,11764.85,130425
20-06-2019 13:10,11763.55,11770.75,11756,11757,173400
20-06-2019 13:15,11757.05,11768.6,11752.25,11758.3,95550
20-06-2019 13:20,11758.45,11766.45,11758.45,11760.9,39750
20-06-2019 13:25,11760.9,11775.45,11756.55,11765.55,89325
20-06-2019 13:30,11762.95,11764.2,11754,11757.25,65550
20-06-2019 13:35,11758.75,11775,11756.2,11774.45,63075
20-06-2019 13:40,11774.8,11776.25,11768.9,11773.95,65850
20-06-2019 13:45,11775,11782.3,11765.2,11765.2,96900
20-06-2019 13:50,11766.9,11780.25,11766.2,11777.95,63675
20-06-2019 13:55,11778.8,11785,11771.7,11783.05,90450
20-06-2019 14:00,11783,11794.9,11782,11794.9,287775
20-06-2019 14:05,11794.95,11803.25,11791,11796.05,197400
20-06-2019 14:10,11796.75,11799.9,11786.1,11792.05,125700
20-06-2019 14:15,11793.35,11800.6,11786.45,11793.1,128625
20-06-2019 14:20,11792.55,11794.85,11777,11780.05,120300
20-06-2019 14:25,11780.05,11790,11777,11788,84375
20-06-2019 14:30,11787.3,11800,11787.25,11795,161475
20-06-2019 14:35,11795.7,11805.9,11794.1,11797.7,186600
20-06-2019 14:40,11797.05,11807,11790.25,11790.25,239700
20-06-2019 14:45,11790.25,11813.95,11788.9,11812.75,233175
20-06-2019 14:50,11813.5,11825,11813,11820.8,374775
20-06-2019 14:55,11822.5,11834.6,11820.5,11832.25,280500
20-06-2019 15:00,11832,11854,11830.55,11845.75,546450
20-06-2019 15:05,11846.1,11847.75,11831.2,11844.5,285975
20-06-2019 15:10,11844.5,11862,11843,11859.5,334050
20-06-2019 15:15,11859.75,11863.35,11851.05,11852,350700
20-06-2019 15:20,11851.95,11855,11848.1,11849.2,301725
20-06-2019 15:25,11849.05,11857.45,11845,11856.1,460950
21-06-2019 09:15,11839.05,11842.6,11803.5,11812.55,532500
21-06-2019 09:20,11814.05,11834.75,11814.05,11819,217425
21-06-2019 09:25,11820.4,11822,11811.9,11817,144000
21-06-2019 09:30,11817.05,11831,11817.05,11818.45,124350
21-06-2019 09:35,11818,11818.8,11810.3,11815.8,95250
21-06-2019 09:40,11817,11817,11802,11804.5,125100
21-06-2019 09:45,11802.6,11812.1,11795,11797,169875
21-06-2019 09:50,11795.8,11801.85,11792,11799,142500
21-06-2019 09:55,11800,11810.55,11796.25,11808.7,127425
21-06-2019 10:00,11808.65,11808.65,11796,11799.95,63675
21-06-2019 10:05,11800,11808,11796.5,11803,58425
21-06-2019 10:10,11803.05,11812.6,11803.05,11807.25,63900
21-06-2019 10:15,11807.95,11809.95,11802.9,11805.45,35475
21-06-2019 10:20,11805.85,11810,11802.6,11806,60975
21-06-2019 10:25,11804.4,11809.9,11804.3,11806.55,27525
21-06-2019 10:30,11806.55,11807.35,11795.05,11798,63525
21-06-2019 10:35,11798,11805.55,11795,11796.55,37950
21-06-2019 10:40,11799,11800.4,11793.9,11796,52800
21-06-2019 10:45,11795,11798.9,11773,11780.4,383700
21-06-2019 10:50,11779,11785,11774.5,11783,98250
21-06-2019 10:55,11783.95,11789.9,11780,11789.7,109650
21-06-2019 11:00,11788,11788.9,11778,11781,119025
21-06-2019 11:05,11781,11789.95,11778.1,11787.05,55500
21-06-2019 11:10,11787,11794.85,11786.8,11786.8,71250
21-06-2019 11:15,11787,11791,11783.55,11790.65,37500
21-06-2019 11:20,11790.65,11793.25,11785,11787.5,63300
21-06-2019 11:25,11787.45,11794,11787.45,11793.6,21525
21-06-2019 11:30,11792.65,11799.9,11790.95,11792,88125
21-06-2019 11:35,11792,11792,11784,11788,42750
21-06-2019 11:40,11789,11795.25,11784.85,11792,37500
21-06-2019 11:45,11791.55,11799,11788,11794,55050
21-06-2019 11:50,11794.1,11798,11792.3,11795.1,34725
21-06-2019 11:55,11795,11819,11795,11815,227625
21-06-2019 12:00,11817.35,11817.65,11806.3,11810,69375
21-06-2019 12:05,11810,11813,11803.1,11804.95,49425
21-06-2019 12:10,11804.15,11810,11803,11803.6,41700
21-06-2019 12:15,11803.55,11805,11795,11801.8,62700
21-06-2019 12:20,11801.8,11807.8,11800,11800.8,30825
21-06-2019 12:25,11800.3,11805.4,11799.8,11804.4,22650
21-06-2019 12:30,11803.85,11806.05,11790.7,11794.6,99150
21-06-2019 12:35,11795,11799.35,11787.5,11792.55,58875
21-06-2019 12:40,11792.45,11794.45,11785.1,11791.3,69900
21-06-2019 12:45,11792,11802.05,11790,11793.75,47550
21-06-2019 12:50,11795.8,11796.05,11789.1,11789.5,32850
21-06-2019 12:55,11789.1,11798.6,11786.2,11792.1,28500
21-06-2019 13:00,11791.05,11801.55,11791.05,11799.1,25650
